C,Gamma,testAcc,trainAcc
0.1,0.01,86.56666666666668,87.65833333333333
0.1,0.0125,87.4,88.61666666666666
0.1,0.015000000000000001,88.03333333333333,89.36666666666666
0.1,0.0175,88.53333333333333,89.9
0.1,0.020000000000000004,88.96666666666665,90.28333333333333
0.1,0.022500000000000003,89.23333333333332,90.64999999999999
0.1,0.025,89.43333333333334,90.99166666666666
0.1,0.027500000000000004,89.66666666666666,91.18333333333334
0.1,0.030000000000000006,89.83333333333333,91.425
0.1,0.03250000000000001,89.86666666666665,91.55833333333335
0.1,0.035,89.8,91.69166666666668
0.1,0.037500000000000006,89.83333333333333,91.8
0.1,0.04000000000000001,89.86666666666665,91.875
0.1,0.04250000000000001,89.83333333333331,91.975
0.1,0.045000000000000005,89.86666666666665,92.03333333333333
0.1,0.04750000000000001,89.8,91.975
0.1,0.05000000000000001,89.7,92.0
0.1,0.05250000000000001,89.7,92.11666666666666
0.1,0.055000000000000014,89.53333333333332,92.10833333333332
0.1,0.05750000000000001,89.33333333333331,92.10833333333333
0.1,0.06000000000000001,89.13333333333333,92.05
0.1,0.06250000000000001,88.93333333333332,91.95
0.1,0.065,88.49999999999999,91.80833333333334
0.1,0.0675,88.00000000000001,91.41666666666666
0.1,0.07,87.63333333333333,91.15
0.1,0.07250000000000001,87.06666666666666,90.88333333333334
0.1,0.07500000000000001,86.4,90.54166666666667
0.1,0.07750000000000001,86.03333333333333,90.12499999999999
0.1,0.08,85.3,89.51666666666667
0.1,0.0825,84.13333333333334,88.975
0.1,0.085,82.63333333333333,88.15
0.1,0.08750000000000001,81.53333333333333,87.21666666666667
0.1,0.09000000000000001,79.2,85.97500000000001
0.1,0.09250000000000001,76.73333333333332,84.25833333333333
0.1,0.09500000000000001,73.63333333333334,82.09166666666667
0.1,0.09750000000000002,70.13333333333334,79.21666666666667
0.1,0.10000000000000002,66.8,76.15
0.1,0.10250000000000001,63.633333333333326,72.71666666666667
0.1,0.10500000000000001,59.9,69.25833333333334
0.1,0.10750000000000001,56.2,65.8
